"","County","Year","Population"
"225","Howard",2024,3105
"226","Humboldt",2020,9593
"227","Humboldt",2021,9630
"228","Humboldt",2022,9545
"229","Humboldt",2023,9564
"230","Humboldt",2024,9617
"231","Ida",2020,7005
"232","Ida",2021,6980
"233","Ida",2022,6900
"234","Ida",2023,6835
"235","Ida",2024,6810
"236","Iowa",2020,16662
"237","Iowa",2021,16583
"238","Iowa",2022,16491
"239","Iowa",2023,16386
"240","Iowa",2024,16423
"241","Jackson",2020,19485
"242","Jackson",2021,19402
"243","Jackson",2022,19350
"244","Jackson",2023,19353
"245","Jackson",2024,19390
"246","Jasper",2020,37813
"247","Jasper",2021,37887
"248","Jasper",2022,37966
"249","Jasper",2023,37991
"250","Jasper",2024,38107
"251","Jefferson",2020,15663
"252","Jefferson",2021,15786
"253","Jefferson",2022,15632
"254","Jefferson",2023,15626
"255","Jefferson",2024,15781
"256","Johnson",2020,152854
"257","Johnson",2021,155047
"258","Johnson",2022,156815
"259","Johnson",2023,158202
"260","Johnson",2024,160080
"261","Jones",2020,20646
"262","Jones",2021,20832
"263","Jones",2022,20960
"264","Jones",2023,20917
"265","Jones",2024,21116
"266","Keokuk",2020,10033
"267","Keokuk",2021,9912
"268","Keokuk",2022,9895
"269","Keokuk",2023,9947
"270","Keokuk",2024,9855
"271","Kossuth",2020,14828
"272","Kossuth",2021,14511
"273","Kossuth",2022,14462
"274","Kossuth",2023,14410
"275","Kossuth",2024,14408
"276","Lee",2020,33555
"277","Lee",2021,33260
"278","Lee",2022,32793
"279","Lee",2023,32509
"280","Lee",2024,32376
"281","Linn",2020,230299
"282","Linn",2021,229474
"283","Linn",2022,228947
"284","Linn",2023,229402
"285","Linn",2024,231762
"286","Louisa",2020,10837
"287","Louisa",2021,10736
"288","Louisa",2022,10657
"289","Louisa",2023,10540
"290","Louisa",2024,10630
"291","Lucas",2020,8634
"292","Lucas",2021,8708
"293","Lucas",2022,8720
"294","Lucas",2023,8775
"295","Lucas",2024,8758
"296","Lyon",2020,11934
"297","Lyon",2021,12035
"298","Lyon",2022,12185
"299","Lyon",2023,12288
"300","Lyon",2024,12378
"301","Madison",2020,16548
"302","Madison",2021,16792
"303","Madison",2022,17050
"304","Madison",2023,16999
"305","Madison",2024,17161
"306","Mahaska",2020,22190
"307","Mahaska",2021,21982
"308","Mahaska",2022,21959
